User,Betweenness Score
rphair,0.12272785063702232
KtorZ,0.08461765523087614
Ryun1,0.05230433355574207
SebastienGllmt,0.044638941673678934
michaelpj,0.02616813739381998
alessandrokonrad,0.023172083185527284
shawnim,0.020432040660026192
Crypto2099,0.016509341963960658
JaredCorduan,0.013378667750033503
yHSJ,0.012366487783914682
cardano-dev4,0.01109152680250294
huths0lo,0.00992128074911241
MartinSchere,0.009816259645207647
michael-liesenfelt,0.00953367139627763
dcoutts,0.009163525947675697
fallen-icarus,0.008802527738712521
colll78,0.008236968242184447
gitmachtl,0.008020826227831129
crptmppt,0.007497514706669447
HinsonSIDAN,0.0072698403344919876
AndrewWestberg,0.006942423543944096
Quantumplation,0.006942241151157386
L-as,0.005985127424695515
michele-nuzzi,0.0046282123267526835
klntsky,0.004290701759918158
kevinhammond,0.003845919761637087
nicolasayotte,0.0031639557819516527
Scitz0,0.0030609042744731982
ashisherc,0.0029922775656156613
mmahut,0.0029638056922351346
leo42,0.002837021761974948
paweljakubas,0.002712824698708407
zliu41,0.0025513920080583517
CyberCyclone,0.0025467231215778765
mark-stopka,0.002366079906036263
polinavino,0.002363961669365124
matiwinnetou,0.0022723991898620983
Hornan7,0.002223114079586557
WhatisRT,0.0020736755685415373
zygomeb,0.0016988814107875142
thaddeusdiamond,0.0015985659840391689
micahkendall,0.0015100656977787624
mgajda,0.0014702349190033443
kderme,0.0014286111875779135
perturbing,0.0011050156360293479
nielstron,0.0010888871322443125
ch1bo,0.000580447718177588
ghost,0.000517860171194785
jmagan,0.00043576411316414786
lehins,0.000350864711840975
kieransimkin,0.00034297410539788217
rooooooooob,0.0003427327621882767
disassembler,0.0002892329365329479
gufmar,0.0002825760451394434
iquerejeta,0.00027485389635483273
ilap,0.00024073525477952417
NetWalker108,0.00021526544069397095
keyan-m,0.00019439549316631945
szist,0.00017922943360697486
Jack-0,0.00016928928167944828
vsubhuman,0.00016206357850688315
Padierfind,0.00015101664943216776
imikushin,0.00013677922102083045
MicroProofs,0.0001271250682328616
danielmain,0.00012063580748460952
SamDelaney,0.00011636870942099731
HarmonicPool,8.73665001770472e-05
Maetti79,6.762055664922137e-05
stevenj,6.428620967440768e-05
SmaugPool,5.625519681792789e-05
ehanoc,5.596965161093708e-05
jpraynaud,4.6095664763739855e-05
zhekson1,4.128247994383298e-05
Godspeed-exe,3.521070405403242e-05
bwbush,2.667477579850941e-05
mangelsjover,2.36445949942853e-05
intricate,2.076186716317316e-05
blamario,1.7491031559308317e-05
solidsnakedev,1.3947097060363492e-05
papag00se,3.4677208538062237e-06
francisluz,0.0
nhenin,0.0
kbennett2000,0.0
Alpine-Oracle,0.0
Kammerlo,0.0
matteocoppola,0.0
Seomon4u,0.0
selfdriven-foundation,0.0
sierkov,0.0
TerminadaPool,0.0
realdecimalist,0.0
nazrhom,0.0
nfrisby,0.0
amesgen,0.0
agaffney,0.0
abailly,0.0
FabioPinheiro,0.0
nathanbogale,0.0
QSchlegel,0.0
aslesarenko,0.0
bezirg,0.0
siran,0.0
palas,0.0
rjmh,0.0
Riley-Kilgore,0.0
TerminadaDrep,0.0
kiwipool,0.0
happystaking,0.0
cleanerm5,0.0
binh1981,0.0
adamrusch,0.0
JackB888,0.0
AdaLink-io,0.0
kwxm,0.0
RSoulatIOHK,0.0
ana-pantilie,0.0
emir-olgun,0.0
effectfully,0.0
ssledz,0.0
ptrdsh,0.0
dkaidalov,0.0
MadOrkestra,0.0
nc6,0.0
phillewis,0.0
thenic95,0.0
Willburn,0.0
coot,0.0
nilscodes,0.0
mirceahasegan,0.0
vlasin,0.0
kozross,0.0
Unisay,0.0
janmazak,0.0
dmitrystas,0.0
rdlrt,0.0
Jimbo4350,0.0
sourabhxyz,0.0
WEEDisFOOD,0.0
Sworzen1,0.0
sgillespie,0.0
katomm,0.0
ross-spencer,0.0
paluh,0.0
slowbackspace,0.0
t4ccer,0.0
getnood,0.0
Thomas-Upfield,0.0
HeinrichApfelmus,0.0
BrockCruess,0.0
jonathanknowles,0.0
rmcilraith,0.0
nau,0.0
christianschmitz,0.0
lisicky,0.0
longngn,0.0
rvcas,0.0
CarlosLopezDeLara,0.0
waalge,0.0
iFergal,0.0
xezon,0.0
fill-the-fill,0.0
AngelCastilloB,0.0
QuasarChains,0.0
ccgarant,0.0
rhyslbw,0.0
Fell-x27,0.0
zxpectre,0.0
siegfried,0.0
marcin-mazurek,0.0
twwu123,0.0
danivideda,0.0
flyerman,0.0
johnnygreeney,0.0
aleeusgr,0.0
AdmiralOOM,0.0
Trueblueaddie,0.0
frog357,0.0
cptmikx,0.0
v-almonacid,0.0
l-br1,0.0
GeorgeFlerovsky,0.0
brouwerQ,0.0
tallwalton,0.0
wout,0.0
serejke,0.0
hai-kreate,0.0
nalane,0.0
emiflake,0.0
CharityDA0,0.0
MichalPetro,0.0
sean118,0.0
ubani,0.0
Liberty-Chris,0.0
BitBlocks368,0.0
rickymac68,0.0
CIP-review,0.0
granada-pool,0.0
stephen-rowan,0.0
mateusap1,0.0
nftguild,0.0
cent-development,0.0
prometheus-pool,0.0
maliky,0.0
etiennejf,0.0
teddyjfpender,0.0
mpizenberg,0.0
ShariffL,0.0
dependabot[bot],0.0
mathieu2em,0.0
the-Minister-0001,0.0
lnmg,0.0
TobiasFancee,0.0
simonjohnthompson,0.0
aarondunnington,0.0
fabianbormann,0.0
hazae41,0.0
jehrhardt,0.0
OlofBlomqvist,0.0
ADARobinHood,0.0
WhiteHorseAvatar,0.0
Balance-Analytics,0.0
Kronoshus,0.0
xeeban,0.0
paradoxicalsphere,0.0
Y50000,0.0
ia-davidpichler,0.0
BlakeBrown,0.0
itsmestale,0.0
clayinvaders,0.0
Tenancio,0.0
klarkc,0.0
diarpiiiii,0.0
meltedplastic,0.0
nullhashpixel,0.0
erikd,0.0
scarmuega,0.0
eyeinsky,0.0
GitCardano,0.0
codybutz,0.0
peterVG,0.0
bladyjoker,0.0
inimrod,0.0
victormundi,0.0
mmontin,0.0
AntMeyer1,0.0
miguelaeh,0.0
MaslDi,0.0
TechRiderWR,0.0
mchakravarty,0.0
HeptaSean,0.0
2byrds,0.0
beriardas,0.0
gabrielKerekes,0.0
johnshearing,0.0
asutherlandus,0.0
morganthomas,0.0
newmindflow,0.0
