User,Betweenness Score
luke-jr,0.10546673277886871
sipa,0.03353261866194512
achow101,0.02162555071251683
ajtowns,0.01890386119011842
TheBlueMatt,0.01733102139516486
jonatack,0.016157095052423357
kallewoof,0.013563431986641977
JeremyRubin,0.012815535081256622
prusnak,0.012465234773051873
ysangkok,0.011199484248779845
laanwj,0.010809097250913849
maflcko,0.010745233445127005
murchandamus,0.009945925213835438
apoelstra,0.008386204239709184
instagibbs,0.008015702251033098
btcdrak,0.007817401960787198
NicolasDorier,0.006498675315020499
azuchi,0.006251586238264055
josibake,0.00551974838245058
afk11,0.005491465739824307
katesalazar,0.005408134031375097
slush0,0.005197558871292636
shaolinfry,0.005014280687712871
jonathancross,0.004517997284162862
Kixunil,0.0044802235338291556
jgarzik,0.004293514509701293
gavinandresen,0.004269604450555005
casey,0.004002912313255351
Roasbeef,0.003912967697699892
Christewart,0.0038261958048689507
jonasnick,0.003751419149490337
jl2012,0.003659051041686287
petertodd,0.0035890686309043595
bip39JP,0.00343340904529132
EthanHeilman,0.00338409165301716
jonasschnelli,0.003257482078413602
DanGould,0.0032037809122439707
schildbach,0.003197330233242968
junderw,0.0030522576819508322
scgbckbone,0.0028734703221274
craigraw,0.002755614107395683
harding,0.0025013417302648232
Varunram,0.0023385608982617948
psztorc,0.0020719584089066902
gmaxwell,0.0020612928512289143
Sjors,0.0020232629817043208
ethankosakovsky,0.0018308731693639922
justusranvier,0.0017693851371253385
theStack,0.0017645027942291528
SamouraiDev,0.001596015409159281
andrewtoth,0.0015819511644800516
reardencode,0.0014297864402966268
jtimon,0.0014025044869633665
glozow,0.0013998174816205553
bigspider,0.0013763078411651558
michaelfolkson,0.001333497160821158
hugohn,0.0013222578609562092
chris-belcher,0.0012920951357151991
kanzure,0.001241499071433322
ghost,0.0012264069497668875
dcousens,0.001223877894632546
jnewbery,0.0011900073557044048
Rspigler,0.001176056593100719
iancoleman,0.001151495518788217
CodeShark,0.0009929144440301281
clarkmoody,0.0008908017257006121
vasild,0.0008818780335905447
real-or-random,0.000869596875582447
doc-hex,0.0008666464150599793
mikehearn,0.0008193479314979556
RandyMcMillan,0.0007887417064398419
dhruv,0.0007025375067830216
voisine,0.0006999415866590011
maraoz,0.0006913411800566942
evoskuil,0.0006807038517624962
naumenkogs,0.0006775850745180086
fjahr,0.0006714012927445538
moonsettler,0.0006534948526648623
omarshibli,0.0006517667206136763
davidgumberg,0.0006445546922236961
MarcoPon,0.0006434066481749022
Y75QMO,0.0006422387252584615
zander,0.0006410669764488428
jaonoctus,0.0006405459124343864
jimpo,0.000640279394644936
satsie,0.0006397846655244386
matthewjablack,0.0006393769571612927
jameshilliard,0.0006389257384194709
greenaddress,0.0005694911512594862
dr-orlovsky,0.0004912492321133421
cvengler,0.0004453528981779787
shea256,0.00044535289817797854
realindiahotel,0.00041656894718827587
sdaftuar,0.00025876727431836763
RHavar,0.0002578152594201106
benthecarman,0.0002531122156259031
roconnor-blockstream,0.00024332712502361366
jamesob,0.0002406918052737174
darosior,0.00021615606557103936
stevenroose,0.00019662045845026906
dgpv,0.0001889777343995788
moneyball,0.00011993598881407859
maaku,0.00011883895941295429
vostrnad,0.00010396142173828152
ebfull,9.655076352612357e-05
kristovatlas,9.130678338433837e-05
cdecker,7.51777736928494e-05
rnicoll,7.428364072855664e-05
SomberNight,6.733528567326211e-05
vladimirfomene,6.416276792187125e-05
nym-zone,6.1007398094242725e-05
AdamISZ,5.014632955182656e-05
dgenr8,4.6076313908933485e-05
super3,4.055584020934403e-05
p2w34,4.01693089918988e-05
shesek,3.9405991550924876e-05
ariard,3.888764041185732e-05
aalness,3.8564608061318675e-05
DanielWeigl,3.751711231677119e-05
sethforprivacy,3.644075338327395e-05
0xB10C,3.623190807486115e-05
pkvk,3.466810283146206e-05
paveljanik,3.1526419091733e-05
meshcollider,3.0658164846106475e-05
ProofOfKeags,3.0042119215019338e-05
cgilliard,2.5343247941861796e-05
Fonta1n3,2.471848540830862e-05
sanket1729,2.469853627388953e-05
jwilkins,2.4324352673974998e-05
fametrano,2.3115389211715386e-05
kallerosenbaum,2.2319740539276504e-05
rustyrussell,2.225816688150914e-05
rebroad,2.2105030362333337e-05
ZenulAbidin,2.1278483975898812e-05
matiu,1.9374766308734958e-05
Giszmo,1.6739829914965956e-05
stratospher,1.5605145104260442e-05
SebastianFloKa,1.489021848011479e-05
morcos,1.3338867103494895e-05
Empact,1.159481214451601e-05
rubensayshi,9.268009844110009e-06
jprichardson,8.635711420182275e-06
Bohdat,8.472295434674938e-06
WriteCodeEveryday,8.166439421008011e-06
brenorb,8.121937352789885e-06
Kirvx,6.768281127324904e-06
t-bast,6.664753600314787e-06
cornfeedhobo,6.317062385503243e-06
dooglus,6.2538032873851085e-06
DavidMStraub,6.091453014592414e-06
andychase,5.555948174460777e-06
jimmysong,5.414624901859923e-06
theborakompanioni,5.300608750254503e-06
bitjson,5.115390095220617e-06
russeree,2.498606879038425e-06
UpalChakraborty,1.7423320971467672e-06
giacomocaironi,1.3864721339611014e-06
aakselrod,1.3536562254649808e-06
klim0v,1.2166791074119768e-06
danpape,6.768281127324904e-07
fresheneesz,5.548303615560563e-07
toby,3.4425136207092614e-07
EthnTuttle,0.0
GobiShanthan,0.0
wgyt,0.0
VolodymyrBg,0.0
sky-coderay,0.0
vipocenka,0.0
KareemAbdoSE,0.0
brawncode,0.0
costcould,0.0
hoholos,0.0
0xBEEFCAF3,0.0
crStiv,0.0
nymius,0.0
sotomiguel202,0.0
xavierfiechter,0.0
nvk,0.0
ujjwali2s,0.0
Gudnessuche,0.0
pythcoiner,0.0
barajeel,0.0
guggero,0.0
sara710944,0.0
DMS1997,0.0
epysqyli,0.0
romashka-btc,0.0
savvar9991,0.0
futreall,0.0
vtjl10,0.0
furszy,0.0
HubertIGL,0.0
kdmukai,0.0
youyyytrok,0.0
dannbbb1,0.0
anurag-lint,0.0
Ademan,0.0
jlopp,0.0
jgriffiths,0.0
pad01g,0.0
ALANthemoor,0.0
akarve,0.0
Machinediablos,0.0
