User,Betweenness Score
luke-jr,0.1011220001940491
sipa,0.031573494002648
jonatack,0.026123532367229717
achow101,0.022664830684522037
TheBlueMatt,0.018654741444854555
kallewoof,0.015163777385925751
murchandamus,0.014894549438801304
ajtowns,0.014252374258612767
JeremyRubin,0.012153560101686339
maflcko,0.011605495181135185
prusnak,0.011285492275237058
laanwj,0.010973140951581138
ysangkok,0.010845123465895246
apoelstra,0.007402601964578194
btcdrak,0.0062218302151209074
Roasbeef,0.005971055949770458
andrewtoth,0.0058007904805316
NicolasDorier,0.0057672612867125
azuchi,0.005607002350246847
slush0,0.005522545768538277
instagibbs,0.005520846039163011
jonasnick,0.005409130312440219
katesalazar,0.004956059435839609
scgbckbone,0.004802036602848595
jonasschnelli,0.004415767590297344
shaolinfry,0.004191502015871145
afk11,0.004150271227196606
theStack,0.004095488210137662
jonathancross,0.003878148154203196
DanGould,0.0034832004748873253
casey,0.0033805137436437294
jgarzik,0.0033787128245843876
real-or-random,0.0032420047029073774
jl2012,0.003148641577769027
gavinandresen,0.003129805015456201
EthanHeilman,0.003032381383357228
petertodd,0.003001936939913199
chris-belcher,0.002855062634412893
schildbach,0.002707717886236643
junderw,0.0026418930736643955
bip39JP,0.002602876573020268
josibake,0.0025386879428832723
psztorc,0.0023651397168088896
stevenroose,0.00209883416299699
craigraw,0.0020916512187850967
reardencode,0.0020689221734373742
harding,0.0020533312954393733
satsie,0.001903064377347343
jnewbery,0.0018903196393206245
Sjors,0.0018081063167862798
bigspider,0.001739774252280301
ethankosakovsky,0.0016574244540958822
ghost,0.0016531446396710683
Varunram,0.0016353561636275812
kanzure,0.0015872740930588521
glozow,0.0015269724538307782
gmaxwell,0.0015182937790390926
ben221199,0.0014285631494456708
kdmukai,0.0014231453397265245
dr-orlovsky,0.001410775590704967
justusranvier,0.001402826096990713
fjahr,0.001372401029045227
ariard,0.0012997992310131144
SamouraiDev,0.0011869747591813375
CodeShark,0.0011625850390008046
jimpo,0.0011453196451914175
vasild,0.0011126705623447591
benthecarman,0.0011122290935357002
Kixunil,0.0011093034802044312
Fonta1n3,0.0010648226165318457
jtimon,0.0010621861177800976
hugohn,0.0009839349759632001
iancoleman,0.000975370339496608
akarve,0.000954796547874826
jaonoctus,0.0009525425352014936
dcousens,0.0008998321409471673
michaelfolkson,0.0008857030827093966
clarkmoody,0.0007746197610923184
naumenkogs,0.0007579381059583734
RHavar,0.0007195659519599932
dhruv,0.0006974485674578738
Christewart,0.0006769122440741618
doc-hex,0.0006483031294681314
voisine,0.0006410744780091063
jimmysong,0.0006120718918637497
mikehearn,0.0006083619596342701
zander,0.0005938941391358355
RandyMcMillan,0.0005868168173981738
Rspigler,0.0005836552618614511
davidgumberg,0.0005721866632325721
rustyrussell,0.0005510390518013418
evoskuil,0.0005425373107702659
ebfull,0.0005341839538152907
maraoz,0.0005314845627976037
kallerosenbaum,0.0005176988189359263
omarshibli,0.0004958664945422486
jameshilliard,0.0004956646908519108
MarcoPon,0.0004792099105135967
giacomocaironi,0.00047841862359569037
Y75QMO,0.00047810571394902977
danpape,0.00047763656348944166
wangchun,0.00047618771648189084
MarnixCroes,0.00047618771648189035
Mertz22,0.00047618771648189035
