User,Betweenness Score
lightclient,0.05291526814177378
SamWilsn,0.040579511582172816
Pandapip1,0.015196016080461412
g11tech,0.012025591999386069
Marchhill,0.009381129639430743
yperbasis,0.007921352963705946
timbeiko,0.007055871285275873
pedrouid,0.0057215019566575894
jochem-brouwer,0.00546918655170235
etan-status,0.005197868594209356
xinbenlv,0.005161401250632206
rakita,0.0049646778394908464
bumblefudge,0.00490580492936975
nerolation,0.004412175829185117
benaadams,0.0043304427943377955
kevaundray,0.004189206839201103
lukasrosario,0.003928435878328299
gumb0,0.0036324303503378888
frangio,0.0033508973898471062
pdobacz,0.0033006380784072324
shemnon,0.003299099560345908
gballet,0.0031593845258090997
kdenhartog,0.0027123558398154586
axic,0.002413729103884925
fjl,0.002292363243143849
GregTheGreek,0.0021799807802932517
djrtwo,0.002179647777798234
charles-cooper,0.0021375432210581917
pcaversaccio,0.002080822317142152
jxom,0.0020699337249025945
asanso,0.0019460390337699047
smartprogrammer93,0.0017764612382956022
mkalinin,0.0017294539615059401
wjmelements,0.001599710645383389
poojaranjan,0.0015416055856388856
MicahZoltu,0.0011600760847544204
ralexstokes,0.0011459060395568993
Giulio2002,0.0011157926954991082
ProphetZX,0.001059042585526885
jwasinger,0.0010582479608520678
MariusVanDerWijden,0.0010301810218639404
Dexaran,0.0007850568861185519
sambacha,0.0006749103220501231
parithosh,0.0006187182719961193
RenanSouza2,0.0006170457587229412
chfast,0.0006037147421706089
marioevz,0.0005428991552210122
ulerdogan,0.0005354981929315136
lucassaldanha,0.0005268064376702669
drortirosh,0.0005218816593142622
jflo,0.000521447120047556
potuz,0.000521447120047556
Amxx,0.0005197089629807308
KolbyML,0.00051941927013626
Scamreno,0.0005168100450889623
dapplion,0.00038605434097002293
jsign,0.00035668431475475185
sudeepdino008,0.0003361851503413968
MaxResnick,0.0003093919578948832
soispoke,0.0003093919578948832
tbergmueller,0.00030939195789488316
strollinghome,0.0003059156437612327
pipermerriam,0.00030562595091676196
adietrichs,0.00025266144578460134
CarlBeek,0.00023140972772861776
gcolvin,0.000230350674136681
ernanirst,5.173468520950453e-05
jaydenwindle,4.7509626493221764e-05
darrylyeo,3.622519546210974e-05
everdimension,3.622519546210974e-05
steven2308,3.0330840816099504e-05
sullof,1.803337956831131e-05
mratsim,1.4298411109240523e-05
MarekM25,1.3832833323483776e-05
danfinlay,1.323820064272779e-05
Mortiemi,1.2850859784505331e-05
adam-alchemy,5.649010467181856e-06
somnathb1,4.5385212300435425e-06
keyvank,3.476314133650373e-06
abcoathup,2.6072356002377797e-06
ghost,1.7381570668251865e-06
kuzdogan,1.448464222354322e-06
github-actions[bot],0.0
linoscope,0.0
vtjl10,0.0
rkapka,0.0
barnabasbusa,0.0
wgyt,0.0
forshtat,0.0
block-head,0.0
kilavvy,0.0
wmjae,0.0
Rachi26,0.0
anderselowsson,0.0
michaelneuder,0.0
sergeypanin1994,0.0
acolytec3,0.0
maximevtush,0.0
rootdiae,0.0
cryptotavares,0.0
ethDreamer,0.0
ncitron,0.0
eip-automerger,0.0
sYNCHROtime,0.0
livnev,0.0
taozui472,0.0
omahs,0.0
sola92,0.0
dependabot[bot],0.0
dajuguan,0.0
khajievN,0.0
pudongair,0.0
viwinkumarpadala,0.0
dgusakov,0.0
dcrapis,0.0
futreall,0.0
czsko707,0.0
sky-coderay,0.0
Thatfocker,0.0
ColinPlatt,0.0
cupOJoseph,0.0
Marcofann,0.0
Remaong89,0.0
donatik27,0.0
MonkeyKing44,0.0
VolodymyrBg,0.0
matkt,0.0
alcuadrado,0.0
Feroslav268,0.0
zsfelfoldi,0.0
Hcdddrtyyujj,0.0
NinaLua,0.0
zeevick10,0.0
JacekGlen,0.0
shohamc1,0.0
crStiv,0.0
Danyylka,0.0
leopardracer,0.0
fakemonkgin,0.0
maldiohead,0.0
genkifs,0.0
gap-editor,0.0
oxbau,0.0
DeVikingMark,0.0
shubh7791,0.0
GarmashAlex,0.0
