User,Degree Score
rphair,206
KtorZ,172
Ryun1,138
SebastienGllmt,113
michaelpj,91
Crypto2099,79
crptmppt,48
fallen-icarus,41
JaredCorduan,40
gitmachtl,38
Quantumplation,37
colll78,36
dcoutts,36
AndrewWestberg,36
alessandrokonrad,35
L-as,35
perturbing,34
shawnim,29
michele-nuzzi,28
kevinhammond,28
WhatisRT,27
klntsky,25
huths0lo,24
zliu41,22
lehins,21
rooooooooob,21
matiwinnetou,21
ehanoc,20
mark-stopka,19
nielstron,18
michael-liesenfelt,18
Scitz0,17
Hornan7,17
mmahut,17
iquerejeta,17
MartinSchere,17
savaki,17
ch1bo,16
SmaugPool,16
AngelCastilloB,16
ashisherc,15
polinavino,15
nicolasayotte,15
Padierfind,15
ghost,14
kozross,14
zygomeb,14
kieransimkin,13
leo42,13
rickymac68,13
ana-pantilie,12
disassembler,12
cardano-dev4,12
HinsonSIDAN,12
refi93,12
TechRiderWR,12
kwxm,11
MicroProofs,11
SamDelaney,11
micahkendall,11
yHSJ,11
solidsnakedev,11
thaddeusdiamond,11
fabianbormann,11
szist,11
papacarp,11
mangelsjover,11
bwbush,10
paweljakubas,10
rjmh,10
mkazlauskas,10
GeorgeFlerovsky,10
CyberCyclone,10
mgajda,10
imikushin,10
erikd,10
rvl,10
gufmar,9
keyan-m,9
ilap,9
stevenj,9
vsubhuman,9
janmazak,9
HeptaSean,9
HarmonicPool,9
jpraynaud,8
nfrisby,8
kderme,8
paluh,8
jonathanknowles,8
danielmain,8
szg251,8
sierkov,7
adamrusch,7
Thomas-Upfield,7
marcin-mazurek,7
jmagan,7
serejke,7
gabrielKerekes,7
zeegomo,7
mzabaluev,7
intricate,7
matteocoppola,6
bezirg,6
TerminadaDrep,6
cleanerm5,6
effectfully,6
dkaidalov,6
katomm,6
BrockCruess,6
Jack-0,6
codybutz,6
morganthomas,6
Alpine-Oracle,5
amesgen,5
aslesarenko,5
RSoulatIOHK,5
thenic95,5
nilscodes,5
rhyslbw,5
flyerman,5
NetWalker108,5
zhekson1,5
simonjohnthompson,5
ADARobinHood,5
blamario,5
goverthrow,5
tomislavhoracek,5
eugene-babichenko,5
francisluz,4
nhenin,4
TerminadaPool,4
nazrhom,4
nathanbogale,4
ssledz,4
Godspeed-exe,4
ptrdsh,4
Unisay,4
HeinrichApfelmus,4
CarlosLopezDeLara,4
nalane,4
papag00se,4
granada-pool,4
Maetti79,4
johnalanwoods,4
jycappucino,4
anitajov,4
nicholseric,4
iohkwebdev,4
ciphero,4
koslambrou,4
nicarq,4
Kammerlo,3
Seomon4u,3
abailly,3
FabioPinheiro,3
palas,3
MadOrkestra,3
vlasin,3
dmitrystas,3
rdlrt,3
ross-spencer,3
t4ccer,3
christianschmitz,3
xezon,3
fill-the-fill,3
ccgarant,3
Fell-x27,3
danivideda,3
Trueblueaddie,3
frog357,3
v-almonacid,3
mateusap1,3
nftguild,3
cent-development,3
prometheus-pool,3
lnmg,3
TobiasFancee,3
Tenancio,3
mmontin,3
AntMeyer1,3
miguelaeh,3
psychomb,3
thisHermit,3
degroux,3
MarcelKlammer,3
philipphenkel,3
the-headless-ghost,3
benma,3
nilaysaha,3
jonnysmillie,3
selfdriven-foundation,2
nc6,2
greatertomi,2
siran,2
binh1981,2
emir-olgun,2
djetchev,2
phillewis,2
coot,2
mirceahasegan,2
klarkc,2
Jimbo4350,2
sourabhxyz,2
sgillespie,2
rjharmon,2
rmcilraith,2
longngn,2
iFergal,2
siegfried,2
johnnygreeney,2
AdmiralOOM,2
19714,2
cptmikx,2
brouwerQ,2
wout,2
emiflake,2
CharityDA0,2
MichalPetro,2
sean118,2
ubani,2
Liberty-Chris,2
nullhashpixel,2
maliky,2
aarondunnington,2
jehrhardt,2
OlofBlomqvist,2
BlakeBrown,2
scarmuega,2
peterVG,2
bladyjoker,2
inimrod,2
MaslDi,2
asutherlandus,2
newmindflow,2
hodlonaut,2
blaggacao,2
futpib,2
StakeWithPride,2
cffls,2
cardahub-dev,2
NicolasDP,2
Anviking,2
Mercurial,2
feqifei,2
kbennett2000,1
dgarey,1
realdecimalist,1
agaffney,1
QSchlegel,1
yihuang,1
Riley-Kilgore,1
kiwipool,1
happystaking,1
EzequielPostan,1
JackB888,1
AdaLink-io,1
intertreeJK,1
Willburn,1
dnadales,1
Mahmoud198425,1
cryptophonic,1
WEEDisFOOD,1
Sworzen1,1
slowbackspace,1
getnood,1
nau,1
lisicky,1
rvcas,1
waalge,1
QuasarChains,1
zxpectre,1
Gueedo78,1
vhulchenko-iohk,1
ginnun,1
twwu123,1
mesudip,1
aleeusgr,1
l-br1,1
tallwalton,1
hai-kreate,1
mirelon,1
MIxAxIM,1
Sheephurder2,1
BitBlocks368,1
onicrom,1
CIP-review,1
ArzakaTrading,1
Jane14457995,1
welshiewelshie,1
Shaneeljiv,1
jungmyeong96,1
VitoMelchionna,1
stephen-rowan,1
hans-repo,1
technologypoet,1
kiriakos,1
mjaskelioff,1
etiennejf,1
teddyjfpender,1
mpizenberg,1
ShariffL,1
mathieu2em,1
the-Minister-0001,1
thealmarty,1
hazae41,1
plazos,1
WhiteHorseAvatar,1
Balance-Analytics,1
Kronoshus,1
xeeban,1
paradoxicalsphere,1
Y50000,1
ia-davidpichler,1
itsmestale,1
clayinvaders,1
diarpiiiii,1
meltedplastic,1
eyeinsky,1
jmhrpr,1
GitCardano,1
ipo,1
victormundi,1
rodrigomd94,1
mzndako,1
mchakravarty,1
2byrds,1
beriardas,1
WarriorField,1
dirkhh-cf,1
johnshearing,1
catch-21,1
oldcryptogeek,1
minikin,1
gyorgy-kurucz-vacuum,1
dkijania,1
BadrulAlomIOG,1
rodolfomiranda,1
lohanspies,1
Wolfy18,1
PatrickTobler,1
essbante-io,1
PhilippeLeLong,1
pgwadapool,1
qunosteve,1
mach-diamond,1
anselmorei,1
alexanderwatanabe,1
newhoggy,1
Mirris,1
MitchTurner,1
satran004,1
itchains,1
ResponsibleStaking,1
CheetahCrypt,1
74d4,1
Zaytion,1
link78,1
michalrus,1
davidnevadoc,1
CPerezz,1
markulf,1
Benjmhart,1
Unity-ADA,1
joacohoyos,1
capexeu,1
santonode,1
delicious-lemon,1
InderKumarRathore,1
Titan-C,1
redxaxder,1
theganant,1
anton-k,1
jfischoff,1
amin1419,1
DanTup,1
GGAlanSmithee,1
honungsburk,1
dasilvaluis,1
josemmrocha,1
kapke,1
theachyutraj,1
sp33dy,1
WhitemanE0,1
Patientdame,1
nikolaglumac,1
scasplte2,1
priyanshuveb,1
drewhaines,1
wost-digital-solutions,1
codefly,1
alandarev,1
wchristi0101,1
octave,1
stephenhuh,1
flexabyte,1
DeFi-Authority,1
om-design,1
Gnadhi,1
BaldBodyBuilder,1
DecentralizedReality,1
OliHericium,1
saw235,1
zachyking,1
Foxxinator,1
AriFordsham,1
rokindo,1
splitpierre,1
piotr-iohk,1
wrmarchetto,1
chbfiv,1
Colin-Edwards-IOHK,1
NASEC-Alex,1
1000101,1
x3haloed,1
jbax,1
leslieonline27,1
rcmorano,1
robinboening,1
pintaric,1
cardanians,1
cardanpool,1
angelstakepool,1
Danmcg86,1
stakepoolplace,1
cf-stevew,1
silver459,0
nathankaiser,0
