User,Degree Score
luke-jr,389
sipa,167
jonatack,144
murchandamus,130
achow101,114
kallewoof,106
prusnak,100
maflcko,98
laanwj,86
ajtowns,75
btcdrak,65
TheBlueMatt,64
JeremyRubin,53
Roasbeef,52
jonasnick,49
afk11,48
gmaxwell,47
petertodd,46
ysangkok,46
michaelfolkson,45
katesalazar,44
NicolasDorier,42
jl2012,42
jonathancross,41
schildbach,41
gavinandresen,39
junderw,37
instagibbs,35
apoelstra,34
harding,33
real-or-random,31
jonasschnelli,30
dcousens,30
Sjors,29
jnewbery,29
dabura667,29
theStack,27
scgbckbone,27
kanzure,27
glozow,26
dr-orlovsky,25
slush0,25
azuchi,25
jgarzik,25
EthanHeilman,24
jamesob,24
voisine,24
CodeShark,24
justusranvier,23
sdaftuar,22
benthecarman,22
ghost,22
bigspider,21
stevenroose,21
fjahr,19
andrewtoth,19
clarkmoody,19
casey,19
reardencode,18
ariard,18
josibake,18
rustyrussell,18
maaku,18
meshcollider,18
shaolinfry,18
Christewart,17
vasild,17
jtimon,17
5twelve,16
vostrnad,16
kristovatlas,16
evoskuil,16
bip39JP,16
darosior,15
ProofOfKeags,15
DanGould,15
chris-belcher,15
craigraw,14
efecini,14
dplusplus1024,14
Rspigler,14
dgpv,14
maraoz,14
Varunram,14
RandyMcMillan,13
davidgumberg,13
roconnor-blockstream,13
greenaddress,13
farazdagi,13
psztorc,12
Kixunil,12
naumenkogs,12
dhruv,12
hugohn,12
fametrano,12
mikehearn,12
doc-hex,11
seedhammer,11
uncomputable,11
veleslavs,11
ethankosakovsky,11
cdecker,11
sabotag3x,11
nym-zone,11
andre-amorim,11
realindiahotel,11
stratospher,10
siv2r,10
pinheadmz,10
satsie,10
sanket1729,10
Fonta1n3,10
brandonblack,10
manda2020panda,10
david-bakin,10
kallerosenbaum,10
SebastianFloKa,10
iancoleman,10
KarolTrzeszczkowski,10
p2w34,10
SamouraiDev,10
akarve,9
fakefraud,9
cgilliard,9
silencer-Tsai,9
DavidMStraub,9
ddustin,9
jimpo,9
randolf,9
jgeewax,9
moonsettler,8
cryptoquick,8
AdamISZ,8
kristapsk,8
illesdavid,8
cmdruid,8
git-sgmoore,8
eMaringolo,8
kiminuo,8
brenorb,8
DanielWeigl,8
morcos,8
3sGgpQ8H,8
bitcoinbrisbane,8
kuthullu,8
da2ce7,8
Bohdat,8
shesek,7
theborakompanioni,7
alfred-hodler,7
jaonoctus,7
pkvk,7
giacomocaironi,7
jbampton,7
nopara73,7
omarshibli,7
RHavar,7
shanejonas,7
yobum,7
jwilkins,7
zander,7
jprichardson,7
bijeebuss,7
paoloaga,7
andychase,7
guggero,6
OrfeasLitos,6
t-bast,6
ben221199,6
momodaka,6
yahiheb,6
MarnixCroes,6
anquii,6
tcatm,6
0xB10C,6
tcharding,6
paribu,6
SomberNight,6
DonaldTsang,6
hebasto,6
Coding-Enthusiast,6
jimmysong,6
Empact,6
torkelrogstad,6
matthewjablack,6
matiu,6
super3,6
priestc,6
aalness,6
brawncode,5
nvk,5
ebfull,5
yannickseurin,5
moneyball,5
benma,5
0xGRAV3R,5
5atoshiNakamoto,5
nau,5
ChrisMartl,5
augustoproiete,5
meherett,5
StijnVA,5
haleemshal,5
vladimirfomene,5
DariusParvin,5
ZenulAbidin,5
uvhw,5
yanmaani,5
ChristopherA,5
RCasatta,5
promag,5
dergigi,5
klim0v,5
rubensayshi,5
aerosol,5
cvengler,5
4tochka,5
lukechilds,5
esengulov,5
mmgen,5
shivaenigma,5
prahaladbelavadi,5
dangershony,5
perlancar,5
erasmospunk,5
philsmd,5
UpalChakraborty,5
jameshilliard,5
jmprcx,5
juwhankim,5
chriswheeler,5
DeftNerd,5
MarcoPon,5
humanely,5
droark,5
bip39CN,5
Y75QMO,5
soroushjp,5
magoo,5
benjiqq,5
0xBEEFCAF3,4
nymius,4
furszy,4
kdmukai,4
1440000bytes,4
Crypt-iQ,4
ChrisCho-H,4
RubenSomsen,4
wangchun,4
sasa-buklijas,4
ktecho,4
louneskmt,4
vicariousdrama,4
joostjager,4
coolaj86,4
Extheoisah,4
ulrichard,4
hknylcnsy,4
Mertz22,4
alexbosworth,4
wip-abramson,4
callebtc,4
suriyaa,4
gfanti,4
Raulo,4
JaimeCaring,4
Mentors4EDU,4
molnard,4
Enegnei,4
cr,4
bitschmidty,4
narimanam,4
ryanofsky,4
graingert,4
willyko,4
nkohen,4
FelixWeis,4
tuxcanfly,4
rex4539,4
riordant,4
impul,4
dlwhitehurst,4
fedsten,4
Sword-Smith,4
gspasov,4
mruddy,4
CikeQiu,4
negatratoron,4
dooglus,4
zizelevak,4
paveljanik,4
techguy613,4
Mirobit,4
hoffmabc,4
rebroad,4
greglaun,4
fanquake,4
dionyziz,4
bitstein,4
zdexter,4
nathanph,4
shea256,4
gurnec,4
crStiv,3
Gudnessuche,3
pythcoiner,3
theuni,3
jlopp,3
kingcathy23,3
cocoyeal,3
Sajjon,3
bitjson,3
sethforprivacy,3
hsjoberg,3
halseth,3
GoodDaisy,3
TheTrunk,3
Shadouts,3
BitcoinErrorLog,3
john-moffett,3
russeree,3
bucko13,3
rxgrant,3
evanlinjin,3
flack,3
mjsamadi,3
learn2grid,3
Mironenko,3
MegoyTambayan,3
LeHoang88,3
jaysonmald35,3
aakselrod,3
guypergal,3
peterkisfaludi,3
chirag64,3
danpape,3
fresheneesz,3
devrandom,3
fburrull,3
koushiro,3
Giszmo,3
n1rna,3
dgenr8,3
visvirial,3
richardkiss,3
izelnakri,3
rorp,3
QuestofIranon,3
SilentStep1204,3
TheRook,3
justinwnewton,3
simondev1,3
AlexITC,3
DavidBurkett,3
petterhs,3
braydonf,3
Chm,3
raucao,3
vikmeup,3
odarboe,3
jeffrade,3
rahimnejhad,3
technologiespro,3
eurdoch,3
yuntai,3
erikarvstedt,3
skywinder,3
Alegege,3
helder-garcia,3
xeoncross,3
russellpwirtz,3
Kirvx,3
lsaether,3
danra,3
alokmenghrajani,3
rolandgnm,3
kek-coin,3
blag,3
marzig76,3
WriteCodeEveryday,3
tenakakhan,3
SandroMachado,3
mappum,3
fanatid,3
drwasho,3
xbtdev,3
rayrrr,3
ondra-novak,3
tungpang2009,3
ethernomad,3
kaykurokawa,3
gary-rowe,3
rnicoll,3
johnhenry,3
swansontec,3
MidnightLightning,3
cscott,3
costcould,2
ismaelsadeeq,2
HubertIGL,2
anurag-lint,2
Ademan,2
rot13maxi,2
jgriffiths,2
pad01g,2
nothingmuch,2
weikengchen,2
storopoli,2
michael1011,2
omahs,2
525411,2
threewebcode,2
Vahid12015595,2
farisei77,2
TomBriar,2
AndySchroder,2
stickies-v,2
corviato1,2
dipunm,2
starius,2
0xtrr,2
dergoegge,2
conduition,2
RealCocoArdo,2
Jones098,2
earonesty,2
AbelLykens,2
grondilu,2
jeepkd,2
Sav233,2
traffictse,2
joemphilips,2
jackromo888,2
Randy808,2
hujiulong,2
54627384,2
ShenghaiWang,2
SunitRoy2703,2
secp256k1-qntm,2
ethicnology,2
allenpiscitello,2
devnullada,2
Zamy159,2
f3rnando,2
pox,2
bulletwhisper77,2
wu-emma,2
Olf0,2
MoseMills,2
rage-proof,2
AndreasGassmann,2
ch1ru,2
0racl3z,2
vincenzopalazzo,2
Matthiti,2
remyers,2
rodasmith,2
thomasklemm,2
T3enale,2
Greg-Griffith,2
bitmover-studio,2
multisignature,2
rikitau,2
christianrolandso,2
stepansnigirev,2
Anderson-Juhasc,2
Lucienest,2
pacu,2
milczarekIT,2
dongcarl,2
Kevingislason,2
Fatima-yo,2
cclauss,2
TheCharlatan,2
23Yc8z,2
k6xiao,2
pengpengliu,2
yassun,2
lazyfunn,2
jb55,2
jmacwhyte,2
toby,2
cryply,2
matthewleon,2
lanhaoxiang,2
jabbfun007,2
maguayo,2
johnnyasantoss,2
arsenyii,2
janbraiins,2
elucidsoft,2
esneider,2
cornfeedhobo,2
AtsukiTak,2
tamasblummer,2
dongri,2
ecdsa,2
Vilaiuk,2
MattLongCT,2
zaq1tomo,2
yuzushioh,2
BTCTaras,2
moodmosaic,2
zylstra,2
starcharles,2
gnujoow,2
kn0rhaan,2
jkauffman1,2
Dorson,2
comboy,2
AllanDoensen,2
UdjinM6,2
sreekanthgs,2
elias19r,2
n1bor,2
Jesion,2
JornC,2
iamsamwood,2
gubatron,2
jmcorgan,2
wizardofozzie,2
xeniacx,2
wink,2
