Number,Title,Author,Status
1,EIP Purpose and Guidelines,"Martin Becze, Hudson Jameson, et al.",Living
5069,EIP Editor Handbook,"Pooja Ranjan, Gavin John, Sam Wilson, et al.",Living
2,Homestead Hard-fork Changes,Vitalik Buterin,Final
4,EIP Classification,Joseph Chow,Final
5,Gas Usage for `RETURN` and `CALL*`,Christian Reitwiessner,Final
6,Renaming SUICIDE opcode,Hudson Jameson,Final
7,DELEGATECALL,Vitalik Buterin,Final
8,devp2p Forward Compatibility Requirements for Homestead,Felix Lange,Final
20,Token Standard,"Fabian Vogelsteller, Vitalik Buterin",Final
55,Mixed-case checksum address encoding,"Vitalik Buterin, Alex Van de Sande",Final
100,Change difficulty adjustment to target mean block time including uncles,Vitalik Buterin,Final
137,Ethereum Domain Name Service - Specification,Nick Johnson,Final
140,REVERT instruction,"Alex Beregszaszi, Nikolai Mushegian",Final
141,Designated invalid EVM instruction,Alex Beregszaszi,Final
145,Bitwise shifting instructions in EVM,"Alex Beregszaszi, PaweÅ Bylica",Final
150,Gas cost changes for IO-heavy operations,Vitalik Buterin,Final
152,Add BLAKE2 compression function `F` precompile,"Tjaden Hess, Matt Luongo, Piotr Dyraga, James Hancock",Final
155,Simple replay attack protection,Vitalik Buterin,Final
158,State clearing,Vitalik Buterin,Final
160,EXP cost increase,Vitalik Buterin,Final
161,State trie clearing (invariant-preserving alternative),Gavin Wood,Final
162,Initial ENS Hash Registrar,"Maurelian, Nick Johnson, Alex Van de Sande",Final
165,Standard Interface Detection,"Christian Reitwieíner, Nick Johnson, Fabian Vogelsteller, Jordi Baylina, Konrad Feldmeier, William Entriken",Final
170,Contract code size limit,Vitalik Buterin,Final
173,Contract Ownership Standard,"Nick Mudge, Dan Finlay",Final
181,ENS support for reverse resolution of Ethereum addresses,Nick Johnson,Final
190,Ethereum Smart Contract Packaging Standard,"Piper Merriam, Tim Coulter, Denis Erfurt, RJ Catalano, Iuri Matias",Final
191,Signed Data Standard,"Martin Holst Swende, Nick Johnson",Final
196,Precompiled contracts for addition and scalar multiplication on the elliptic curve alt_bn128,Christian Reitwiessner,Final
197,Precompiled contracts for optimal ate pairing check on the elliptic curve alt_bn128,"Vitalik Buterin, Christian Reitwiessner",Final
198,Big integer modular exponentiation,Vitalik Buterin,Final
211,New opcodes: RETURNDATASIZE and RETURNDATACOPY,Christian Reitwiessner,Final
214,New opcode STATICCALL,"Vitalik Buterin, Christian Reitwiessner",Final
223,Token with transaction handling model,Dexaran ,Final
225,Clique proof-of-authority consensus protocol,Péter Szilágyi,Final
234,Add `blockHash` to JSON-RPC filter options.,Micah Zoltu,Final
600,Ethereum purpose allocation for Deterministic Wallets,"Nick Johnson, Micah Zoltu",Final
601,Ethereum hierarchy for deterministic wallets,"Nick Johnson, Micah Zoltu",Final
606,Hardfork Meta: Homestead,Alex Beregszaszi,Final
607,Hardfork Meta: Spurious Dragon,Alex Beregszaszi,Final
608,Hardfork Meta: Tangerine Whistle,Alex Beregszaszi,Final
609,Hardfork Meta: Byzantium,Alex Beregszaszi,Final
627,Whisper Specification,Vlad Gluhovsky,Final
649,Metropolis Difficulty Bomb Delay and Block Reward Reduction,"Afri Schoedon, Vitalik Buterin",Final
658,Embedding transaction status code in receipts,Nick Johnson,Final
681,URL Format for Transaction Requests,Daniel A. Nagy,Final
684,Revert creation in case of collision,"Vitalik Buterin, Renan Rodrigues de Souza",Final
695,Create `eth_chainId` method for JSON-RPC,"Isaac Ardis, Wei Tang, Fan Torchz, Erik Marks",Final
706,DEVp2p snappy compression,Péter Szilágyi,Final
712,Typed structured data hashing and signing,"Remco Bloemen, Leonid Logvinov, Jacob Evans",Final
721,Non-Fungible Token Standard,"William Entriken, Dieter Shirley, Jacob Evans, Nastassia Sachs",Final
747,wallet_watchAsset RPC Method,"Dan Finlay, Esteban Mino, Gavin John",Final
777,Token Standard,"Jacques Dafflon, Jordi Baylina, Thomas Shababi",Final
778,Ethereum Node Records (ENR),Felix Lange,Final
