User,PageRank Score
luke-jr,0.074962632713153
sipa,0.033059400167992546
laanwj,0.024681673002992222
maflcko,0.020274833406690267
jonatack,0.019278293585229714
gmaxwell,0.01855409668446961
murchandamus,0.018446319178108187
prusnak,0.017634402872761027
btcdrak,0.017414007652654096
kallewoof,0.013632821939124639
petertodd,0.012447095767644571
achow101,0.012208490706013101
michaelfolkson,0.010855910020323904
ajtowns,0.010636543228911706
kanzure,0.009362189018460771
katesalazar,0.009008977856736768
harding,0.008892714035286662
gavinandresen,0.008678066206496828
jl2012,0.00861394380748459
dabura667,0.008119821525856918
afk11,0.00782960136344459
JeremyRubin,0.006510446786943046
CodeShark,0.006403620717999769
TheBlueMatt,0.006317905558698865
schildbach,0.0062135134333680545
dcousens,0.005785033403679234
voisine,0.005755607368415416
junderw,0.005641605737954698
NicolasDorier,0.005582564942915365
Sjors,0.0052453310644258065
jonasschnelli,0.005189649119642871
ghost,0.005124069415732101
jonathancross,0.0050246814707952765
jtimon,0.0044938813901106035
ProofOfKeags,0.0043972768494278565
maaku,0.004050620796857493
jonasnick,0.003964935439203452
super3,0.0037993197896238323
evoskuil,0.0037838815329848683
jgarzik,0.0037259775621344055
slush0,0.0035522608188495773
apoelstra,0.0035272333058150008
andre-amorim,0.0033748519494040266
vostrnad,0.0032488083142793926
Rspigler,0.0031179279982632545
kristovatlas,0.0030429285490575593
rustyrussell,0.002947946685349034
jnewbery,0.002929228536024758
sdaftuar,0.002922372235003533
ysangkok,0.0029121448167760858
mikehearn,0.002754353953165275
instagibbs,0.0027234715144670864
naumenkogs,0.002526461857215154
morcos,0.0024630448122396637
FelixWeis,0.0023297016687341236
darosior,0.002307500750392589
clarkmoody,0.0022798944829018667
ZenulAbidin,0.0022600230205406585
maraoz,0.002257139409013455
dr-orlovsky,0.00223638639192172
real-or-random,0.0022229606418959344
jmcorgan,0.0021570444179467288
ebfull,0.0021485949035665946
iancoleman,0.002144760692356692
nvk,0.002067687418869303
rxgrant,0.0020603964208275112
dongcarl,0.002043185712653057
vasild,0.0020114019566816956
dgpv,0.001955793280354003
Roasbeef,0.0019543749861296094
greenaddress,0.0019320412942733622
RandyMcMillan,0.0019227969521568714
fanquake,0.0018965957953024086
craigraw,0.0018454213732128622
ChrisMartl,0.0017846453504752403
chris-belcher,0.0017736358462119937
zander,0.0017679929432550332
fjahr,0.0017509820841945397
psztorc,0.00172217681312772
theuni,0.0017189950989130998
jimpo,0.001718270486749208
shaolinfry,0.0016921257293806002
davidgumberg,0.0016865585660774866
andychase,0.001680564905319855
benthecarman,0.0016627715229883147
RHavar,0.0016326565481412092
jlopp,0.0016080984456236902
jprichardson,0.0015894672949717963
ethankosakovsky,0.0015721233236564197
Marco1553,0.0015418703106450018
ProfEduStream,0.0015418703106450018
Varunram,0.0015418703106450018
randolf,0.0015418703106450018
webmaster128,0.0015418703106450018
Arachnid,0.0015418703106450018
trevinhofmann,0.0015418703106450018
shango420,0.0015418703106450018
gasteve,0.0015418703106450018
ducdigital,0.0015418703106450018
wtogami,0.0015418703106450018
