Quarter,top_5_nodes
2025-Q1,"[('jonatack', 0.6666666666666667), ('murchandamus', 0.35555555555555557), ('andrewtoth', 0.22222222222222224), ('brawncode', 0.11111111111111112), ('doc-hex', 0.11111111111111112)]"
2024-Q4,"[('jonatack', 0.6363636363636364), ('murchandamus', 0.33333333333333337), ('theStack', 0.18181818181818182), ('scgbckbone', 0.18181818181818182), ('andrewtoth', 0.15151515151515152)]"
2024-Q3,"[('jonatack', 0.37777777777777777), ('murchandamus', 0.35555555555555557), ('cryptoquick', 0.17777777777777778), ('TheBlueMatt', 0.17777777777777778), ('fjahr', 0.15555555555555556)]"
2024-Q2,"[('jonatack', 0.3176470588235294), ('murchandamus', 0.3058823529411765), ('achow101', 0.18823529411764706), ('efecini', 0.16470588235294117), ('JeremyRubin', 0.15294117647058825)]"
2024-Q1,"[('TheBlueMatt', 0.348314606741573), ('murchandamus', 0.14606741573033707), ('glozow', 0.1348314606741573), ('seedhammer', 0.12359550561797752), ('reardencode', 0.12359550561797752)]"
2023-Q4,"[('EthanHeilman', 0.4117647058823529), ('instagibbs', 0.23529411764705882), ('achow101', 0.21568627450980393), ('fakefraud', 0.1764705882352941), ('luke-jr', 0.13725490196078433)]"
2023-Q3,"[('stevenroose', 0.16129032258064516), ('murchandamus', 0.14516129032258063), ('Roasbeef', 0.14516129032258063), ('luke-jr', 0.14516129032258063), ('DanGould', 0.14516129032258063)]"
2023-Q2,"[('josibake', 0.22916666666666666), ('luke-jr', 0.125), ('MarnixCroes', 0.125), ('sipa', 0.10416666666666666), ('StijnVA', 0.10416666666666666)]"
2023-Q1,"[('casey', 0.2463768115942029), ('jamesob', 0.21739130434782608), ('kallewoof', 0.2028985507246377), ('apoelstra', 0.15942028985507248), ('real-or-random', 0.15942028985507248)]"
2022-Q4,"[('glozow', 0.17391304347826086), ('jonasnick', 0.15942028985507248), ('dplusplus1024', 0.14492753623188406), ('ariard', 0.14492753623188406), ('bigspider', 0.13043478260869565)]"
2022-Q3,"[('luke-jr', 0.3448275862068966), ('achow101', 0.1896551724137931), ('jonasnick', 0.15517241379310345), ('scgbckbone', 0.15517241379310345), ('alfred-hodler', 0.12068965517241378)]"
2022-Q2,"[('luke-jr', 0.23333333333333334), ('david-bakin', 0.16666666666666666), ('maflcko', 0.13333333333333333), ('katesalazar', 0.11666666666666667), ('ajtowns', 0.11666666666666667)]"
2022-Q1,"[('JeremyRubin', 0.275), ('luke-jr', 0.2), ('chris-belcher', 0.2), ('Roasbeef', 0.17500000000000002), ('katesalazar', 0.15000000000000002)]"
2021-Q4,"[('luke-jr', 0.23809523809523808), ('sipa', 0.19047619047619047), ('dr-orlovsky', 0.15873015873015872), ('Kixunil', 0.14285714285714285), ('katesalazar', 0.12698412698412698)]"
2021-Q3,"[('achow101', 0.19642857142857142), ('katesalazar', 0.1607142857142857), ('luke-jr', 0.14285714285714285), ('kallewoof', 0.10714285714285714), ('jaonoctus', 0.10714285714285714)]"
2021-Q2,"[('ajtowns', 0.3088235294117647), ('jnewbery', 0.23529411764705882), ('luke-jr', 0.22058823529411764), ('achow101', 0.19117647058823528), ('Sjors', 0.14705882352941177)]"
2021-Q1,"[('luke-jr', 0.3088235294117647), ('achow101', 0.22058823529411764), ('ajtowns', 0.16176470588235295), ('michaelfolkson', 0.14705882352941177), ('sipa', 0.1323529411764706)]"
2020-Q4,"[('kallewoof', 0.22988505747126436), ('ajtowns', 0.1954022988505747), ('luke-jr', 0.16091954022988506), ('michaelfolkson', 0.13793103448275862), ('ysangkok', 0.13793103448275862)]"
2020-Q3,"[('ajtowns', 0.2948717948717949), ('luke-jr', 0.2692307692307692), ('sipa', 0.1794871794871795), ('sabotag3x', 0.14102564102564102), ('maflcko', 0.1282051282051282)]"
2020-Q2,"[('luke-jr', 0.2830188679245283), ('ysangkok', 0.22641509433962265), ('vasild', 0.18867924528301885), ('fametrano', 0.16981132075471697), ('NicolasDorier', 0.1509433962264151)]"
2020-Q1,"[('sipa', 0.4318181818181818), ('luke-jr', 0.20454545454545456), ('JeremyRubin', 0.1590909090909091), ('jonasnick', 0.13636363636363635), ('aerosol', 0.11363636363636365)]"
2019-Q4,"[('luke-jr', 0.3103448275862069), ('maflcko', 0.27586206896551724), ('dgpv', 0.13793103448275862), ('azuchi', 0.13793103448275862), ('narimanam', 0.13793103448275862)]"
2019-Q3,"[('luke-jr', 0.3404255319148936), ('kallewoof', 0.2127659574468085), ('maflcko', 0.19148936170212766), ('junderw', 0.1276595744680851), ('jonatack', 0.10638297872340426)]"
2019-Q2,"[('ysangkok', 0.2807017543859649), ('luke-jr', 0.15789473684210525), ('3sGgpQ8H', 0.14035087719298245), ('ddustin', 0.12280701754385964), ('shanejonas', 0.12280701754385964)]"
2019-Q1,"[('luke-jr', 0.3333333333333333), ('laanwj', 0.10526315789473684), ('prusnak', 0.08771929824561403), ('stevenroose', 0.08771929824561403), ('p2w34', 0.08771929824561403)]"
2018-Q4,"[('luke-jr', 0.2777777777777778), ('matthewjablack', 0.1388888888888889), ('riordant', 0.1111111111111111), ('impul', 0.1111111111111111), ('Chm', 0.08333333333333333)]"
2018-Q3,"[('luke-jr', 0.29032258064516125), ('kallewoof', 0.14516129032258063), ('DavidMStraub', 0.12903225806451613), ('brenorb', 0.0967741935483871), ('achow101', 0.0967741935483871)]"
2018-Q2,"[('luke-jr', 0.24242424242424243), ('sipa', 0.16666666666666669), ('kallewoof', 0.15151515151515152), ('afk11', 0.13636363636363635), ('Varunram', 0.12121212121212122)]"
2018-Q1,"[('luke-jr', 0.33783783783783783), ('psztorc', 0.12162162162162163), ('kuthullu', 0.10810810810810811), ('sdaftuar', 0.10810810810810811), ('nym-zone', 0.10810810810810811)]"
2017-Q4,"[('luke-jr', 0.3170731707317073), ('prusnak', 0.14634146341463417), ('Roasbeef', 0.12195121951219512), ('philsmd', 0.12195121951219512), ('gspasov', 0.0975609756097561)]"
2017-Q3,"[('luke-jr', 0.5072463768115942), ('meshcollider', 0.2028985507246377), ('sipa', 0.18840579710144928), ('jonathancross', 0.14492753623188406), ('jl2012', 0.11594202898550725)]"
2017-Q2,"[('luke-jr', 0.5348837209302325), ('da2ce7', 0.18604651162790697), ('shaolinfry', 0.11627906976744186), ('jmprcx', 0.11627906976744186), ('juwhankim', 0.11627906976744186)]"
2017-Q1,"[('luke-jr', 0.2777777777777778), ('shaolinfry', 0.25925925925925924), ('jgarzik', 0.16666666666666666), ('azuchi', 0.12962962962962962), ('Christewart', 0.12962962962962962)]"
2016-Q4,"[('luke-jr', 0.4444444444444444), ('afk11', 0.3055555555555555), ('sdaftuar', 0.16666666666666666), ('sipa', 0.16666666666666666), ('btcdrak', 0.1388888888888889)]"
2016-Q3,"[('luke-jr', 0.3684210526315789), ('farazdagi', 0.22807017543859648), ('jl2012', 0.19298245614035087), ('sipa', 0.17543859649122806), ('maflcko', 0.15789473684210525)]"
2016-Q2,"[('luke-jr', 0.5277777777777778), ('sipa', 0.3055555555555555), ('btcdrak', 0.25), ('jl2012', 0.25), ('TheBlueMatt', 0.1388888888888889)]"
2016-Q1,"[('luke-jr', 0.75), ('btcdrak', 0.3088235294117647), ('jl2012', 0.29411764705882354), ('sipa', 0.23529411764705882), ('dcousens', 0.1764705882352941)]"
2015-Q4,"[('btcdrak', 0.4482758620689655), ('luke-jr', 0.3275862068965517), ('CodeShark', 0.24137931034482757), ('SamouraiDev', 0.15517241379310345), ('jl2012', 0.13793103448275862)]"
2015-Q3,"[('btcdrak', 0.3333333333333333), ('luke-jr', 0.27450980392156865), ('gmaxwell', 0.1764705882352941), ('justusranvier', 0.1764705882352941), ('laanwj', 0.1568627450980392)]"
2015-Q2,"[('laanwj', 0.2857142857142857), ('kristovatlas', 0.21428571428571427), ('justusranvier', 0.17857142857142855), ('petertodd', 0.14285714285714285), ('gavinandresen', 0.14285714285714285)]"
2015-Q1,"[('afk11', 0.24), ('NicolasDorier', 0.2), ('laanwj', 0.16), ('nathanph', 0.16), ('voisine', 0.08)]"
2014-Q4,"[('laanwj', 0.29411764705882354), ('realindiahotel', 0.2647058823529412), ('bip39JP', 0.23529411764705882), ('sipa', 0.14705882352941177), ('bip39CN', 0.14705882352941177)]"
2014-Q3,"[('schildbach', 0.3055555555555555), ('laanwj', 0.3055555555555555), ('bip39JP', 0.25), ('sipa', 0.19444444444444442), ('mikehearn', 0.19444444444444442)]"
2014-Q2,"[('schildbach', 0.4117647058823529), ('laanwj', 0.3235294117647059), ('prusnak', 0.3235294117647059), ('gavinandresen', 0.2647058823529412), ('harding', 0.23529411764705882)]"
2014-Q1,"[('petertodd', 0.28205128205128205), ('laanwj', 0.28205128205128205), ('slush0', 0.28205128205128205), ('schildbach', 0.20512820512820512), ('gavinandresen', 0.1794871794871795)]"
2013-Q4,"[('sipa', 0.36363636363636365), ('benjiqq', 0.2727272727272727), ('laanwj', 0.2727272727272727), ('gmaxwell', 0.18181818181818182), ('josephNLD', 0.09090909090909091)]"
