month,gini_coefficient,top_5_nodes
2025-04,,"[('rphair', 0.0)]"
2025-03,0.9010695187165775,"[('Crypto2099', 0.06041666666666667), ('rphair', 0.03125), ('jpraynaud', 0.0), ('Ryun1', 0.0), ('francisluz', 0.0)]"
2025-02,0.9002267573696144,"[('rphair', 0.034210526315789476), ('Ryun1', 0.011842105263157895), ('colll78', 0.009210526315789473), ('Seomon4u', 0.0), ('Crypto2099', 0.0)]"
2025-01,0.9365079365079361,"[('Ryun1', 0.027692307692307693), ('rphair', 0.015384615384615385), ('nfrisby', 0.0), ('kderme', 0.0), ('agaffney', 0.0)]"
2024-12,0.9289215686274511,"[('rphair', 0.043478260869565216), ('colll78', 0.023715415019762844), ('siran', 0.0), ('yihuang', 0.0), ('paweljakubas', 0.0)]"
2024-11,0.9230769230769228,"[('rphair', 0.032679738562091505), ('Crypto2099', 0.00980392156862745), ('cleanerm5', 0.0), ('polinavino', 0.0), ('colll78', 0.0)]"
2024-10,0.919642857142857,"[('rphair', 0.04807692307692307), ('Ryun1', 0.003205128205128205), ('Hornan7', 0.0), ('perturbing', 0.0), ('Crypto2099', 0.0)]"
2024-09,0.9167816091954022,"[('rphair', 0.04563492063492063), ('Ryun1', 0.037037037037037035), ('perturbing', 0.016534391534391533), ('ilap', 0.0), ('emir-olgun', 0.0)]"
2024-08,0.9585907619888208,"[('Ryun1', 0.0428202288667405), ('rphair', 0.0068290882244370615), ('fallen-icarus', 0.005537098560354374), ('lehins', 0.0018456995201181247), ('kevinhammond', 0.0)]"
2024-07,0.9540816326530612,"[('Ryun1', 0.017094017094017096), ('rphair', 0.002849002849002849), ('kozross', 0.0), ('Hornan7', 0.0), ('Crypto2099', 0.0)]"
2024-06,0.911764705882353,"[('rphair', 0.00625), ('Crypto2099', 0.0020833333333333333), ('Ryun1', 0.0), ('SamDelaney', 0.0), ('Hornan7', 0.0)]"
2024-05,0.9204545454545452,"[('rphair', 0.03571428571428572), ('Ryun1', 0.02142857142857143), ('micahkendall', 0.0), ('michele-nuzzi', 0.0), ('kozross', 0.0)]"
2024-04,0.9159420289855073,"[('Ryun1', 0.1098901098901099), ('rphair', 0.016483516483516484), ('WhatisRT', 0.0), ('thenic95', 0.0), ('t4ccer', 0.0)]"
2024-03,0.9251700680272111,"[('Ryun1', 0.02217741935483871), ('rphair', 0.02066532258064516), ('michaelpj', 0.004536290322580645), ('jonathanknowles', 0.0015120967741935483), ('MicroProofs', 0.0005040322580645161)]"
2024-02,0.9387755102040816,"[('rphair', 0.031578947368421054), ('colll78', 0.005263157894736842), ('Unisay', 0.0), ('michaelpj', 0.0), ('Ryun1', 0.0)]"
2024-01,0.8654040404040408,"[('michaelpj', 0.04741379310344827), ('colll78', 0.04495073891625616), ('Ryun1', 0.03201970443349754), ('klntsky', 0.019704433497536946), ('rphair', 0.013546798029556651)]"
2023-12,0.8952228327228327,"[('rphair', 0.17654808959156784), ('michaelpj', 0.10144927536231882), ('Quantumplation', 0.07411067193675888), ('Ryun1', 0.007575757575757574), ('Crypto2099', 0.0)]"
2023-11,0.8924731182795702,"[('klntsky', 0.017241379310344827), ('Ryun1', 0.013793103448275862), ('rphair', 0.00632183908045977), ('leo42', 0.004022988505747126), ('WhatisRT', 0.0034482758620689655)]"
2023-10,0.9409090909090909,"[('rphair', 0.029239766081871343), ('Ryun1', 0.0029239766081871343), ('nielstron', 0.0), ('marcin-mazurek', 0.0), ('Crypto2099', 0.0)]"
